ETIQUETA	CATEGORIAS	SITIO	DUREZA	AREAF	AFE	RENDIMIENTO	safrol	b-cariofileno	D-germacreno	b-elemeno	bicilogermacreno	miristicina	a-copaeno	TR-45.65	espatulenol	TR-40.5	a-humuleno	TR-45.01	TR-46.29	oxido de cariofileno	TR-60.15	TR-45.58	TR-44.97	TR-49.22	TR-44.83	b-pineno	TR-56.62	g-Terpineno	TR-46.22	a-pineno	TR-55.85	TR-50.77	d-carene	TR-56.2
RUC2	RUC	CULINARIO	RUDERAL	5.8835	577.5066667	363.8421533	0.3041	46.628	7.736	5.795	1.657	2.513	1.247	2.155	1.606	2.314	1.213	1.085	0	0	0.778	8.175	0.681	5.246	0.643	0.443	0	0.521	0	1.406	0	0.34	0.562	0	0.302
RUC3	RUC	CULINARIO	RUDERAL	4.5519	337.9	273.1327939	0.5869	63.214	7.53	7.141	2.408	2.884	1.961	1.756	1.273	1.333	1.437	1.014	0	0.873	0.654	0.853	0.413	0.122	0.414	0.427	0.125	0.208	0.128	0.228	0	0.11	0.084	0	0
RUC4	RUC	CULINARIO	RUDERAL	3.4785	281.3833333	367.8877869	0.3136	62.817	5.027	4.066	1.366	1.757	1.013	0	0.607	0.465	0.971	0.608	0	0.314	4.066	0.448	0.177	0.125	0.158	0.146	3.29	0	5.356	0.088	1.492	0	0	1.647	0
RUC5	RUC	CULINARIO	RUDERAL	3.8328	419.0833333	322.8167117	0.7059	63.175	7.611	6.293	1.641	2.308	2.385	2.554	0.737	0.723	0.028	0.89	0.394	0.544	0.348	0.908	0.426	0.326	0.281	0.535	0.777	0.091	0.689	0.08	0.286	0.079	0.079	0.141	0
RUC6	RUC	CULINARIO	RUDERAL	8.1398	343.8933333	377.4763386	1.5115	53.103	8.574	9.294	2.22	3.935	1.779	0	1.759	1.73	2.107	1.214	0	1.135	0.328	1.957	0.343	0.457	0	2.911	0	0.619	0.401	0.272	0	0.409	0	0	0
RUC7	RUC	CULINARIO	RUDERAL	6.9209	284.9966667	259.9470813	0.4542	31.29	14.523	14.062	3.229	4.054	2.431	3.171	2.944	1.779	2.691	1.883	4.548	1.329	0.604	0.95	0.836	4.548	0.566	0.771	0.121	0.045	0.802	0.196	0	0.635	0.055	0.111	0.249
RUC8	RUC	CULINARIO	RUDERAL	13.6465	293.2933333	383.0901807	0.1398	38.35	9.867	7.018	2.351	2.048	3.253	2.56	1.819	5.332	0	1.289	0	1.201	1.604	5.359	0.562	0	1.497	0.605	0	0.261	0.154	0.286	0.203	0.672	0.317	0	0.337
RUC9	RUC	CULINARIO	RUDERAL	3.1861	229.92	134.9036013	0.3579	49.309	7.304	7.424	2.109	2.921	4.192	2.036	1.582	2.208	1.685	0.958	0	0.999	0.734	3.858	0.703	1.959	0.963	0.315	0.044	0.542	0.135	0.35	0	0.354	0.354	0	0.283
RUC10	RUC	CULINARIO	RUDERAL	6.9209	330.6233333	253.5647073	0.1479	43.042	7.455	8.082	2.101	2.667	3.962	1.776	2.147	3.126	0.076	1.139	0	1.345	0.95	3.988	0.735	5.925	0.76	0.31	0	0.356	0	0.293	0	0.524	0.15	0	0.735
RUC11	RUC	CULINARIO	RUDERAL	13.6465	380.7333333	390.2665675	0.3402	37.125	11.233	8.226	2.924	0	5.372	0	3.064	5.417	1.56	1.581	0	0	1.124	9.098	1.956	2.008	1.003	1.647	0	1.01	0	1.777	0	0.966	0	0	0
RUC12	RUC	CULINARIO	RUDERAL	3.1861	407.75	294.9508061	0.3126	40.784	5.919	10.255	2.347	2.723	2.821	2.421	1.956	5.376	1.351	1.083	0	1.026	0.794	6.552	1.956	3.505	0.732	0.458	0	1.106	0	0.352	0	0.375	0.111	0	0.199
RUC13	RUC	CULINARIO	RUDERAL	6.737725	563.15	235.3553634	0.3126	72.23	3.789	3.835	1.416	1.62	0.901	0.043	0.523	0.589	0.748	0.503	0	0.351	0.233	0.521	0.135	0.112	0	0.494	0.549	0.053	3.656	0.096	0.142	0.131	0	0.894	0
